11AS_B	11AS_A
1QSG_G	1QSG_A
1QSG_G	1QSG_B
1QSG_G	1QSG_C
1QSG_G	1QSG_D
1QSG_G	1QSG_E
1QSG_G	1QSG_F
1QSG_G	1QSG_H
1QSM_B	1QSM_A
1QSM_B	1QSM_C
1QSM_B	1QSM_D
1QSO_D	1QSO_A
1QSO_D	1QSO_B
1QSO_D	1QSO_C
1QSU_A	1QSU_B
1QSU_A	1QSU_C
1QTN_A	1QTN_B
1QTN_A	1QTN_C
1QTN_B	1QTN_A
1QTN_B	1QTN_C
1QU0_B	1QU0_A
1QU0_B	1QU0_C
1QU0_B	1QU0_D
1QU0_C	1QU0_A
1QU0_C	1QU0_B
1QU0_C	1QU0_D
1QU1_C	1QU1_A
1QU1_C	1QU1_B
1QU1_C	1QU1_D
1QU1_C	1QU1_E
1QU1_C	1QU1_F
1QU1_F	1QU1_A
1QU1_F	1QU1_B
1QU1_F	1QU1_C
1QU1_F	1QU1_D
1QU1_F	1QU1_E
1QU4_A	1QU4_B
1QU4_A	1QU4_C
1QU4_A	1QU4_D
1QU7_A	1QU7_B
1QU9_A	1QU9_B
1QU9_A	1QU9_C
1QUP_A	1QUP_B
1QV9_C	1QV9_A
1QV9_C	1QV9_B
1QVB_A	1QVB_B
1QVC_A	1QVC_B
1QVC_A	1QVC_C
1QVC_A	1QVC_D
1QVC_D	1QVC_A
1QVC_D	1QVC_B
1QVC_D	1QVC_C
1QVE_B	1QVE_A
1QVG_N	1QVG_1
1QVG_N	1QVG_2
1QVG_N	1QVG_A
1QVG_N	1QVG_B
1QVG_N	1QVG_C
1QVG_N	1QVG_D
1QVG_N	1QVG_E
1QVG_N	1QVG_F
1QVG_N	1QVG_G
1QVG_N	1QVG_H
1QVG_N	1QVG_I
1QVG_N	1QVG_J
1QVG_N	1QVG_K
1QVG_N	1QVG_L
1QVG_N	1QVG_M
1QVG_N	1QVG_O
1QVG_N	1QVG_P
1QVG_N	1QVG_Q
1QVG_N	1QVG_R
1QVG_N	1QVG_S
1QVG_N	1QVG_T
1QVG_N	1QVG_U
1QVG_N	1QVG_V
1QVG_N	1QVG_W
1QVG_N	1QVG_X
1QVG_N	1QVG_Y
1QVG_N	1QVG_Z
1QVI_A	1QVI_Y
1QVI_A	1QVI_Z
1QVR_B	1QVR_A
1QVR_B	1QVR_C
1QVV_B	1QVV_A
1QVV_B	1QVV_C
1QVV_B	1QVV_D
1QVZ_A	1QVZ_B
1QW9_B	1QW9_A
1QWI_A	1QWI_B
1QWI_A	1QWI_C
1QWI_A	1QWI_D
1QWJ_B	1QWJ_A
1QWJ_B	1QWJ_C
1QWJ_B	1QWJ_D
1QWJ_D	1QWJ_A
1QWJ_D	1QWJ_B
1QWJ_D	1QWJ_C
1QWL_A	1QWL_B
1QWR_A	1QWR_B
1QWR_B	1QWR_A
1QX2_B	1QX2_A
1QXN_B	1QXN_A
1QXO_B	1QXO_A
1QXO_B	1QXO_C
1QXO_B	1QXO_D
1QXP_A	1QXP_B
1QXP_B	1QXP_A
1QXS_B	1QXS_A
1QXS_B	1QXS_C
1QXS_B	1QXS_D
1QY9_C	1QY9_A
1QY9_C	1QY9_B
1QY9_C	1QY9_D
1QYA_A	1QYA_B
1QYC_B	1QYC_A
1QYD_C	1QYD_A
1QYD_C	1QYD_B
1QYD_C	1QYD_D
1QYN_D	1QYN_A
1QYN_D	1QYN_B
1QYN_D	1QYN_C
1QYR_B	1QYR_A
1QZ2_A	1QZ2_B
1QZ2_A	1QZ2_C
1QZ2_A	1QZ2_G
1QZ2_A	1QZ2_H
1QZ7_B	1QZ7_A
1QZF_D	1QZF_A
1QZF_D	1QZF_B
1QZF_D	1QZF_C
1QZF_D	1QZF_E
1QZG_B	1QZG_A
1QZH_F	1QZH_A
1QZH_F	1QZH_B
1QZH_F	1QZH_C
1QZH_F	1QZH_D
1QZH_F	1QZH_E
1QZR_A	1QZR_B
1QZR_B	1QZR_A
1QZU_A	1QZU_B
1QZU_A	1QZU_C
1QZU_A	1QZU_D
1QZV_U	1QZV_0
1QZV_U	1QZV_1
1QZV_U	1QZV_2
1QZV_U	1QZV_3
1QZV_U	1QZV_4
1QZV_U	1QZV_5
1QZV_U	1QZV_6
1QZV_U	1QZV_7
1QZV_U	1QZV_8
1QZV_U	1QZV_9
1QZV_U	1QZV_A
1QZV_U	1QZV_B
1QZV_U	1QZV_C
1QZV_U	1QZV_D
1QZV_U	1QZV_E
1QZV_U	1QZV_F
1QZV_U	1QZV_G
1QZV_U	1QZV_H
1QZV_U	1QZV_I
1QZV_U	1QZV_J
1QZV_U	1QZV_K
1QZV_U	1QZV_L
1QZV_U	1QZV_P
1QZV_U	1QZV_Q
1QZV_U	1QZV_R
1QZV_U	1QZV_S
1QZV_U	1QZV_T
1QZV_U	1QZV_V
1QZV_U	1QZV_W
1QZV_U	1QZV_Y
1QZV_U	1QZV_Z
1QZW_C	1QZW_A
1QZW_C	1QZW_E
1QZW_C	1QZW_G
1R0A_A	1R0A_B
1R0A_A	1R0A_H
1R0A_A	1R0A_L
1R0A_B	1R0A_A
1R0A_B	1R0A_H
1R0A_B	1R0A_L
1R0B_E	1R0B_A
1R0B_E	1R0B_B
1R0B_E	1R0B_C
1R0B_E	1R0B_D
1R0B_E	1R0B_F
1R0B_E	1R0B_G
1R0B_E	1R0B_H
1R0B_E	1R0B_I
1R0B_E	1R0B_J
1R0B_E	1R0B_K
1R0B_E	1R0B_L
1R0D_H	1R0D_A
1R0D_H	1R0D_B
1R0D_H	1R0D_D
1R0D_H	1R0D_E
1R0D_H	1R0D_F
1R0D_H	1R0D_G
1R0D_H	1R0D_I
1R0D_I	1R0D_A
1R0D_I	1R0D_B
1R0D_I	1R0D_D
1R0D_I	1R0D_E
1R0D_I	1R0D_F
1R0D_I	1R0D_G
1R0D_I	1R0D_H
1R0K_B	1R0K_A
1R0K_B	1R0K_C
1R0K_B	1R0K_D
1R0M_C	1R0M_A
1R0M_C	1R0M_B
1R0M_C	1R0M_D
1R0N_B	1R0N_A
1R0R_E	1R0R_I
1R0R_I	1R0R_E
1R0V_B	1R0V_A
1R0V_B	1R0V_C
1R0V_B	1R0V_D
1R0Z_C	1R0Z_A
1R0Z_C	1R0Z_B
1R0Z_C	1R0Z_D
1R12_A	1R12_B
1R17_B	1R17_A
1R17_B	1R17_C
1R17_B	1R17_D
1R1A_4	1R1A_1
1R1A_4	1R1A_2
1R1A_4	1R1A_3
1R1K_D	1R1K_A
1R1Q_B	1R1Q_A
1R1Q_B	1R1Q_C
1R1Q_B	1R1Q_D
1R1T_B	1R1T_A
1R1U_C	1R1U_A
1R1U_C	1R1U_B
1R1U_C	1R1U_D
1R23_A	1R23_B
1R23_B	1R23_A
1R2A_A	1R2A_B
1R2K_A	1R2K_B
1R30_B	1R30_A
1R3H_C	1R3H_A
1R3H_C	1R3H_B
1R3H_C	1R3H_D
1R3H_C	1R3H_E
1R3H_C	1R3H_F
1R3H_C	1R3H_G
1R3H_C	1R3H_H
1R3N_A	1R3N_B
1R3N_A	1R3N_C
1R3N_A	1R3N_D
1R3N_A	1R3N_E
1R3N_A	1R3N_F
1R3N_A	1R3N_G
1R3N_A	1R3N_H
1R3U_B	1R3U_A
1R42_A	1R42_B
1R42_A	1R42_C
1R42_A	1R42_D
1R42_A	1R42_E
1R44_C	1R44_A
1R44_C	1R44_B
1R44_C	1R44_D
1R44_C	1R44_E
1R44_C	1R44_F
1R45_B	1R45_A
1R45_B	1R45_C
1R45_B	1R45_D
1R48_A	1R48_B
1R4A_C	1R4A_A
1R4A_C	1R4A_B
1R4A_C	1R4A_D
1R4A_C	1R4A_E
1R4A_C	1R4A_F
1R4A_C	1R4A_G
1R4A_C	1R4A_H
1R4A_G	1R4A_A
1R4A_G	1R4A_B
1R4A_G	1R4A_C
1R4A_G	1R4A_D
1R4A_G	1R4A_E
1R4A_G	1R4A_F
1R4A_G	1R4A_H
1R4C_F	1R4C_A
1R4C_F	1R4C_B
1R4C_F	1R4C_C
1R4C_F	1R4C_D
1R4C_F	1R4C_E
1R4C_F	1R4C_G
1R4C_F	1R4C_H
1R4I_A	1R4I_B
1R4M_J	1R4M_A
1R4M_J	1R4M_B
1R4M_J	1R4M_C
1R4M_J	1R4M_D
1R4M_J	1R4M_E
1R4M_J	1R4M_F
1R4M_J	1R4M_G
1R4M_J	1R4M_H
1R4M_J	1R4M_I
1R4M_J	1R4M_K
1R4M_J	1R4M_L
1R4Q_B	1R4Q_A
1R4Q_B	1R4Q_C
1R4Q_B	1R4Q_D
1R4Q_B	1R4Q_E
1R4Q_B	1R4Q_F
1R4Q_B	1R4Q_G
1R4Q_B	1R4Q_H
1R4Q_B	1R4Q_I
1R4Q_B	1R4Q_J
1R4Q_B	1R4Q_K
1R4Q_B	1R4Q_L
1R4Q_L	1R4Q_A
1R4Q_L	1R4Q_B
1R4Q_L	1R4Q_C
1R4Q_L	1R4Q_D
1R4Q_L	1R4Q_E
1R4Q_L	1R4Q_F
1R4Q_L	1R4Q_G
1R4Q_L	1R4Q_H
1R4Q_L	1R4Q_I
1R4Q_L	1R4Q_J
1R4Q_L	1R4Q_K
1R4W_C	1R4W_A
1R4W_C	1R4W_B
1R4W_C	1R4W_D
1R52_A	1R52_B
1R52_A	1R52_C
1R52_A	1R52_D
1R5C_B	1R5C_A
1R5I_D	1R5I_A
1R5I_D	1R5I_B
1R5I_D	1R5I_C
1R5I_D	1R5I_E
1R5I_D	1R5I_F
1R5I_D	1R5I_G
1R5I_D	1R5I_H
1R5J_A	1R5J_B
1R5T_A	1R5T_B
1R5T_A	1R5T_C
1R5T_A	1R5T_D
1R5T_C	1R5T_A
1R5T_C	1R5T_B
1R5T_C	1R5T_D
1R5V_C	1R5V_A
1R5V_C	1R5V_B
1R5V_C	1R5V_D
1R5V_C	1R5V_E
1R5V_C	1R5V_F
1R5V_D	1R5V_A
1R5V_D	1R5V_B
1R5V_D	1R5V_C
1R5V_D	1R5V_E
1R5V_D	1R5V_F
1R61_A	1R61_B
1R64_B	1R64_A
1R64_B	1R64_C
1R64_B	1R64_D
1R6O_A	1R6O_B
1R6O_A	1R6O_C
1R6O_A	1R6O_D
1R6O_D	1R6O_A
1R6O_D	1R6O_B
1R6O_D	1R6O_C
1R6R_A	1R6R_B
1R6T_A	1R6T_B
1R6U_B	1R6U_A
1R70_B	1R70_A
1R70_B	1R70_C
1R70_B	1R70_D
1R71_B	1R71_A
1R71_B	1R71_C
1R71_B	1R71_D
1R77_A	1R77_B
1R77_B	1R77_A
1R7L_B	1R7L_A
1R7S_C	1R7S_A
1R7S_C	1R7S_B
1R88_B	1R88_A
1R8D_A	1R8D_B
1R8G_B	1R8G_A
1R8H_F	1R8H_A
1R8H_F	1R8H_B
1R8H_F	1R8H_C
1R8H_F	1R8H_D
1R8H_F	1R8H_E
1R8J_B	1R8J_A
1R8K_B	1R8K_A
1R8L_B	1R8L_A
1R8O_A	1R8O_B
1R8O_B	1R8O_A
1R8S_A	1R8S_E
1R8S_E	1R8S_A
1R8U_A	1R8U_B
1R8U_B	1R8U_A
1R8W_B	1R8W_A
1R94_A	1R94_B
1R9C_A	1R9C_B
1R9C_B	1R9C_A
1R9D_B	1R9D_A
1R9J_B	1R9J_A
1RAD_D	1RAD_A
1RAD_D	1RAD_B
1RAD_D	1RAD_C
1RB8_J	1RB8_F
1RB8_J	1RB8_G
1RBF_A	1RBF_S
1RBL_C	1RBL_A
1RBL_C	1RBL_B
1RBL_C	1RBL_D
1RBL_C	1RBL_E
1RBL_C	1RBL_F
1RBL_C	1RBL_G
1RBL_C	1RBL_H
1RBL_C	1RBL_I
1RBL_C	1RBL_J
1RBL_C	1RBL_K
1RBL_C	1RBL_L
1RBL_C	1RBL_M
1RBL_C	1RBL_N
1RBL_C	1RBL_O
1RBL_C	1RBL_P
1RBL_L	1RBL_A
1RBL_L	1RBL_B
1RBL_L	1RBL_C
1RBL_L	1RBL_D
1RBL_L	1RBL_E
1RBL_L	1RBL_F
1RBL_L	1RBL_G
1RBL_L	1RBL_H
1RBL_L	1RBL_I
1RBL_L	1RBL_J
1RBL_L	1RBL_K
1RBL_L	1RBL_M
1RBL_L	1RBL_N
1RBL_L	1RBL_O
1RBL_L	1RBL_P
1RBL_N	1RBL_A
1RBL_N	1RBL_B
1RBL_N	1RBL_C
1RBL_N	1RBL_D
1RBL_N	1RBL_E
1RBL_N	1RBL_F
1RBL_N	1RBL_G
1RBL_N	1RBL_H
1RBL_N	1RBL_I
1RBL_N	1RBL_J
1RBL_N	1RBL_K
1RBL_N	1RBL_L
1RBL_N	1RBL_M
1RBL_N	1RBL_O
1RBL_N	1RBL_P
1RBO_C	1RBO_B
1RBO_C	1RBO_E
1RBO_C	1RBO_F
1RBO_C	1RBO_H
1RBO_C	1RBO_I
1RBO_C	1RBO_L
1RBO_C	1RBO_S
1RC2_A	1RC2_B
1RC5_C	1RC5_A
1RC5_C	1RC5_B
1RC5_C	1RC5_D
1RC6_A	1RC6_B
1RCP_B	1RCP_A
1RCS_B	1RCS_A
1RCU_A	1RCU_B
1RCU_A	1RCU_C
1RCU_A	1RCU_D
1RCW_B	1RCW_A
1RCW_B	1RCW_C
1RCW_C	1RCW_A
1RCW_C	1RCW_B
1RD5_A	1RD5_B
1RDF_B	1RDF_A
1RDF_B	1RDF_C
1RDF_B	1RDF_D
1RDF_B	1RDF_E
1RDF_B	1RDF_F
1RDL_1	1RDL_2
1RDO_1	1RDO_2
1RDZ_B	1RDZ_A
1RE5_C	1RE5_A
1RE5_C	1RE5_B
1RE5_C	1RE5_D
1RE5_D	1RE5_A
1RE5_D	1RE5_B
1RE5_D	1RE5_C
1REG_X	1REG_Y
1REG_Y	1REG_X
1REQ_A	1REQ_B
1REQ_A	1REQ_C
1REQ_A	1REQ_D
1REQ_B	1REQ_A
1REQ_B	1REQ_C
1REQ_B	1REQ_D
1RER_C	1RER_A
1RER_C	1RER_B
1RF5_C	1RF5_A
1RF5_C	1RF5_B
1RF5_C	1RF5_D
1RF6_B	1RF6_A
1RF6_B	1RF6_C
1RF6_B	1RF6_D
1RF8_A	1RF8_B
1RF8_B	1RF8_A
1RFU_H	1RFU_A
1RFU_H	1RFU_B
1RFU_H	1RFU_C
1RFU_H	1RFU_D
1RFU_H	1RFU_E
1RFU_H	1RFU_F
1RFU_H	1RFU_G
1RFX_A	1RFX_B
1RFX_A	1RFX_C
1RFY_B	1RFY_A
1RFZ_B	1RFZ_A
1RFZ_B	1RFZ_C
1RFZ_B	1RFZ_D
1RFZ_D	1RFZ_A
1RFZ_D	1RFZ_B
1RFZ_D	1RFZ_C
1RG0_B	1RG0_A
1RG5_H	1RG5_L
1RG5_H	1RG5_M
1RG5_L	1RG5_H
1RG5_L	1RG5_M
1RG5_M	1RG5_H
1RG5_M	1RG5_L
1RG8_B	1RG8_A
1RG9_A	1RG9_B
1RG9_A	1RG9_C
1RG9_A	1RG9_D
1RGI_G	1RGI_A
1RGX_B	1RGX_A
1RGX_B	1RGX_C
1RGX_C	1RGX_A
1RGX_C	1RGX_B
1RH5_A	1RH5_B
1RH5_A	1RH5_C
1RH5_B	1RH5_A
1RH5_B	1RH5_C
1RH5_C	1RH5_A
1RH5_C	1RH5_B
1RH6_A	1RH6_B
1RH7_C	1RH7_A
1RH7_C	1RH7_B
1RH7_C	1RH7_D
1RH7_C	1RH7_E
1RH7_C	1RH7_F
1RHF_A	1RHF_B
1RHY_A	1RHY_B
1RHZ_B	1RHZ_A
1RHZ_B	1RHZ_C
1RI8_A	1RI8_B
1RIF_B	1RIF_A
1RII_A	1RII_B
1RII_A	1RII_C
1RII_A	1RII_D
1RIO_B	1RIO_A
1RIO_B	1RIO_H
1RIU_H	1RIU_L
1RIW_B	1RIW_A
1RIW_B	1RIW_C
1RIW_B	1RIW_D
1RIW_C	1RIW_A
1RIW_C	1RIW_B
1RIW_C	1RIW_D
1RJ6_A	1RJ6_B
1RJ7_E	1RJ7_A
1RJ7_E	1RJ7_B
1RJ7_E	1RJ7_D
1RJ7_E	1RJ7_F
1RJ7_E	1RJ7_G
1RJ7_E	1RJ7_H
1RJ7_E	1RJ7_I
1RJ7_E	1RJ7_J
1RJ7_E	1RJ7_K
1RJ7_E	1RJ7_L
1RJ7_E	1RJ7_M
1RJ8_G	1RJ8_A
1RJ8_G	1RJ8_B
1RJ8_G	1RJ8_D
1RJ8_G	1RJ8_E
1RJ8_G	1RJ8_F
1RJ9_A	1RJ9_B
1RJC_A	1RJC_B
1RJD_B	1RJD_A
1RJD_B	1RJD_C
1RJE_C	1RJE_A
1RJE_C	1RJE_B
1RJJ_A	1RJJ_B
1RJL_C	1RJL_A
1RJL_C	1RJL_B
1RJL_C	1RJL_D
1RJW_C	1RJW_A
1RJW_C	1RJW_B
1RJW_C	1RJW_D
1RK2_B	1RK2_A
1RK2_B	1RK2_C
1RK2_B	1RK2_D
1RK8_A	1RK8_B
1RK8_A	1RK8_C
1RK8_C	1RK8_A
1RK8_C	1RK8_B
1RKH_A	1RKH_C
1RKI_A	1RKI_B
1RKQ_A	1RKQ_B
1RKR_C	1RKR_A
1RKR_C	1RKR_B
1RKR_C	1RKR_D
1RKT_A	1RKT_B
1RKU_B	1RKU_A
1RKV_B	1RKV_A
1RKX_B	1RKX_A
1RKX_B	1RKX_C
1RKX_B	1RKX_D
1RKX_C	1RKX_A
1RKX_C	1RKX_B
1RKX_C	1RKX_D
1RL2_A	1RL2_B
1RL4_B	1RL4_A
1RLB_E	1RLB_A
1RLB_E	1RLB_B
1RLB_E	1RLB_C
1RLB_E	1RLB_D
1RLB_E	1RLB_F
1RLI_D	1RLI_A
1RLI_D	1RLI_B
1RLI_D	1RLI_C
1RLM_C	1RLM_A
1RLM_C	1RLM_B
1RLM_C	1RLM_D
1RM1_A	1RM1_B
1RM1_A	1RM1_C
1RM1_C	1RM1_A
1RM1_C	1RM1_B
1RM3_B	1RM3_A
1RM3_B	1RM3_O
1RM4_A	1RM4_B
1RM4_A	1RM4_O
1RM6_B	1RM6_A
1RM6_B	1RM6_C
1RM6_B	1RM6_D
1RM6_B	1RM6_E
1RM6_B	1RM6_F
1RM6_D	1RM6_A
1RM6_D	1RM6_B
1RM6_D	1RM6_C
1RM6_D	1RM6_E
1RM6_D	1RM6_F
1RM6_F	1RM6_A
1RM6_F	1RM6_B
1RM6_F	1RM6_C
1RM6_F	1RM6_D
1RM6_F	1RM6_E
1RNF_B	1RNF_A
1RO7_C	1RO7_A
1RO7_C	1RO7_B
1RO7_C	1RO7_D
1ROW_B	1ROW_A
1RP0_A	1RP0_B
1RP3_A	1RP3_B
1RP3_A	1RP3_C
1RP3_A	1RP3_D
1RP3_A	1RP3_E
1RP3_A	1RP3_F
1RP3_A	1RP3_G
1RP3_A	1RP3_H
1RP3_B	1RP3_A
1RP3_B	1RP3_C
1RP3_B	1RP3_D
1RP3_B	1RP3_E
1RP3_B	1RP3_F
1RP3_B	1RP3_G
1RP3_B	1RP3_H
1RP3_D	1RP3_A
1RP3_D	1RP3_B
1RP3_D	1RP3_C
1RP3_D	1RP3_E
1RP3_D	1RP3_F
1RP3_D	1RP3_G
1RP3_D	1RP3_H
1RPM_B	1RPM_A
1RPN_C	1RPN_A
1RPN_C	1RPN_B
1RPN_C	1RPN_D
1RPR_A	1RPR_B
1RPX_B	1RPX_A
1RPX_B	1RPX_C
1RQ0_C	1RQ0_A
1RQ0_C	1RQ0_B
1RQ2_B	1RQ2_A
1RQJ_A	1RQJ_B
1RQJ_B	1RQJ_A
1RQP_B	1RQP_A
1RQP_B	1RQP_C
1RQT_A	1RQT_B
1RQX_C	1RQX_A
1RQX_C	1RQX_B
1RQX_C	1RQX_D
1RRM_A	1RRM_B
1RRP_B	1RRP_A
1RRP_B	1RRP_C
1RRP_B	1RRP_D
1RRV_A	1RRV_B
1RRV_A	1RRV_C
1RRV_A	1RRV_D
1RRV_B	1RRV_A
1RRV_B	1RRV_C
1RRV_B	1RRV_D
1RSG_B	1RSG_A
1RSO_A	1RSO_B
1RSO_A	1RSO_C
1RSO_A	1RSO_D
1RSO_D	1RSO_A
1RSO_D	1RSO_B
1RSO_D	1RSO_C
1RTF_B	1RTF_A
1RTM_1	1RTM_2
1RTM_1	1RTM_3
1RTR_A	1RTR_B
1RTR_B	1RTR_A
1RTW_A	1RTW_B
1RTW_A	1RTW_C
1RTW_A	1RTW_D
1RTW_B	1RTW_A
1RTW_B	1RTW_C
1RTW_B	1RTW_D
1RTY_B	1RTY_A
1RTY_B	1RTY_C
1RTY_C	1RTY_A
1RTY_C	1RTY_B
1RV3_A	1RV3_B
1RV6_V	1RV6_W
1RV6_V	1RV6_X
1RV6_V	1RV6_Y
1RV6_W	1RV6_V
1RV6_W	1RV6_X
1RV6_W	1RV6_Y
1RV8_A	1RV8_B
1RV8_A	1RV8_C
1RV8_A	1RV8_D
1RVG_D	1RVG_A
1RVG_D	1RVG_B
1RVG_D	1RVG_C
1RVV_J	1RVV_1
1RVV_J	1RVV_2
1RVV_J	1RVV_3
1RVV_J	1RVV_4
1RVV_J	1RVV_A
1RVV_J	1RVV_B
1RVV_J	1RVV_C
1RVV_J	1RVV_D
1RVV_J	1RVV_E
1RVV_J	1RVV_F
1RVV_J	1RVV_G
1RVV_J	1RVV_H
1RVV_J	1RVV_I
1RVV_J	1RVV_K
1RVV_J	1RVV_L
1RVV_J	1RVV_M
1RVV_J	1RVV_N
1RVV_J	1RVV_O
1RVV_J	1RVV_P
1RVV_J	1RVV_Q
1RVV_J	1RVV_R
1RVV_J	1RVV_S
1RVV_J	1RVV_T
1RVV_J	1RVV_U
1RVV_J	1RVV_V
1RVV_J	1RVV_W
1RVV_J	1RVV_X
1RVV_J	1RVV_Y
1RVV_J	1RVV_Z
1RW0_B	1RW0_A
1RWT_G	1RWT_A
1RWT_G	1RWT_B
1RWT_G	1RWT_C
1RWT_G	1RWT_D
1RWT_G	1RWT_E
1RWT_G	1RWT_F
1RWT_G	1RWT_H
1RWT_G	1RWT_I
1RWT_G	1RWT_J
1RWY_C	1RWY_A
1RWY_C	1RWY_B
1RX0_D	1RX0_A
1RX0_D	1RX0_B
1RX0_D	1RX0_C
1RXD_C	1RXD_A
1RXD_C	1RXD_B
1RXM_A	1RXM_B
1RXO_C	1RXO_B
1RXO_C	1RXO_E
1RXO_C	1RXO_F
1RXO_C	1RXO_H
1RXO_C	1RXO_I
1RXO_C	1RXO_L
1RXO_C	1RXO_S
1RXQ_B	1RXQ_A
1RXQ_B	1RXQ_C
1RXQ_B	1RXQ_D
1RXQ_D	1RXQ_A
1RXQ_D	1RXQ_B
1RXQ_D	1RXQ_C
1RXT_A	1RXT_B
1RXT_A	1RXT_C
1RXT_A	1RXT_D
1RXT_D	1RXT_A
1RXT_D	1RXT_B
1RXT_D	1RXT_C
1RXV_A	1RXV_B
1RXX_B	1RXX_A
1RXX_B	1RXX_C
1RXX_B	1RXX_D
1RXX_C	1RXX_A
1RXX_C	1RXX_B
1RXX_C	1RXX_D
1RXY_A	1RXY_B
1RY7_B	1RY7_A
1RY9_D	1RY9_A
1RY9_D	1RY9_B
1RY9_D	1RY9_C
1RYA_B	1RYA_A
1RYD_B	1RYD_A
1RYI_C	1RYI_A
1RYI_C	1RYI_B
1RYI_C	1RYI_D
1RYL_A	1RYL_B
1RYL_B	1RYL_A
1RYP_1	1RYP_2
1RYP_1	1RYP_A
1RYP_1	1RYP_B
1RYP_1	1RYP_C
1RYP_1	1RYP_D
1RYP_1	1RYP_E
1RYP_1	1RYP_F
1RYP_1	1RYP_G
1RYP_1	1RYP_H
1RYP_1	1RYP_I
1RYP_1	1RYP_J
1RYP_1	1RYP_K
1RYP_1	1RYP_L
1RYP_1	1RYP_M
1RYP_1	1RYP_N
1RYP_1	1RYP_O
1RYP_1	1RYP_P
1RYP_1	1RYP_Q
1RYP_1	1RYP_R
1RYP_1	1RYP_S
1RYP_1	1RYP_T
1RYP_1	1RYP_U
1RYP_1	1RYP_V
1RYP_1	1RYP_W
1RYP_1	1RYP_X
1RYP_1	1RYP_Y
1RYP_1	1RYP_Z
1RYP_A	1RYP_1
1RYP_A	1RYP_2
1RYP_A	1RYP_B
1RYP_A	1RYP_C
1RYP_A	1RYP_D
1RYP_A	1RYP_E
1RYP_A	1RYP_F
1RYP_A	1RYP_G
1RYP_A	1RYP_H
1RYP_A	1RYP_I
1RYP_A	1RYP_J
1RYP_A	1RYP_K
1RYP_A	1RYP_L
1RYP_A	1RYP_M
1RYP_A	1RYP_N
1RYP_A	1RYP_O
1RYP_A	1RYP_P
1RYP_A	1RYP_Q
1RYP_A	1RYP_R
1RYP_A	1RYP_S
1RYP_A	1RYP_T
1RYP_A	1RYP_U
1RYP_A	1RYP_V
1RYP_A	1RYP_W
1RYP_A	1RYP_X
1RYP_A	1RYP_Y
1RYP_A	1RYP_Z
1RYP_E	1RYP_1
1RYP_E	1RYP_2
1RYP_E	1RYP_A
1RYP_E	1RYP_B
1RYP_E	1RYP_C
1RYP_E	1RYP_D
1RYP_E	1RYP_F
1RYP_E	1RYP_G
1RYP_E	1RYP_H
1RYP_E	1RYP_I
1RYP_E	1RYP_J
1RYP_E	1RYP_K
1RYP_E	1RYP_L
1RYP_E	1RYP_M
1RYP_E	1RYP_N
1RYP_E	1RYP_O
1RYP_E	1RYP_P
1RYP_E	1RYP_Q
1RYP_E	1RYP_R
1RYP_E	1RYP_S
1RYP_E	1RYP_T
1RYP_E	1RYP_U
1RYP_E	1RYP_V
1RYP_E	1RYP_W
1RYP_E	1RYP_X
1RYP_E	1RYP_Y
1RYP_E	1RYP_Z
1RYP_H	1RYP_1
1RYP_H	1RYP_2
1RYP_H	1RYP_A
1RYP_H	1RYP_B
1RYP_H	1RYP_C
1RYP_H	1RYP_D
1RYP_H	1RYP_E
1RYP_H	1RYP_F
1RYP_H	1RYP_G
1RYP_H	1RYP_I
1RYP_H	1RYP_J
1RYP_H	1RYP_K
1RYP_H	1RYP_L
1RYP_H	1RYP_M
1RYP_H	1RYP_N
1RYP_H	1RYP_O
1RYP_H	1RYP_P
1RYP_H	1RYP_Q
1RYP_H	1RYP_R
1RYP_H	1RYP_S
1RYP_H	1RYP_T
1RYP_H	1RYP_U
1RYP_H	1RYP_V
1RYP_H	1RYP_W
1RYP_H	1RYP_X
1RYP_H	1RYP_Y
1RYP_H	1RYP_Z
1RYP_I	1RYP_1
1RYP_I	1RYP_2
1RYP_I	1RYP_A
1RYP_I	1RYP_B
1RYP_I	1RYP_C
1RYP_I	1RYP_D
1RYP_I	1RYP_E
1RYP_I	1RYP_F
1RYP_I	1RYP_G
1RYP_I	1RYP_H
1RYP_I	1RYP_J
1RYP_I	1RYP_K
1RYP_I	1RYP_L
1RYP_I	1RYP_M
1RYP_I	1RYP_N
1RYP_I	1RYP_O
1RYP_I	1RYP_P
1RYP_I	1RYP_Q
1RYP_I	1RYP_R
1RYP_I	1RYP_S
1RYP_I	1RYP_T
1RYP_I	1RYP_U
1RYP_I	1RYP_V
1RYP_I	1RYP_W
1RYP_I	1RYP_X
1RYP_I	1RYP_Y
1RYP_I	1RYP_Z
1RYP_K	1RYP_1
1RYP_K	1RYP_2
1RYP_K	1RYP_A
1RYP_K	1RYP_B
1RYP_K	1RYP_C
1RYP_K	1RYP_D
1RYP_K	1RYP_E
1RYP_K	1RYP_F
1RYP_K	1RYP_G
1RYP_K	1RYP_H
1RYP_K	1RYP_I
1RYP_K	1RYP_J
1RYP_K	1RYP_L
1RYP_K	1RYP_M
1RYP_K	1RYP_N
1RYP_K	1RYP_O
1RYP_K	1RYP_P
1RYP_K	1RYP_Q
1RYP_K	1RYP_R
1RYP_K	1RYP_S
1RYP_K	1RYP_T
1RYP_K	1RYP_U
1RYP_K	1RYP_V
